Wavelength (nm),Air_n,Air_k,Spiro_n,Spiro_k,TiO2_n,TiO2_k,SodaLime_n,SodaLime_k,Perov_n,Perov_k,PerovPtPt_n,PerovPtPt_k,Au_n,Au_k,SnO2_n,SnO2_k,SiO2_n,SiO2_k,FTO_n,FTO_k,FTema_n,FTema_k,FAema_n,FAema_k,TPema_n,TPema_k,SpiroTFSI4Ox_n,SpiroTFSI4Ox_k,SpOxema_n,SpOxema_k
333,1,0,1.65721,0.22932,2.76405,0.1502,1.53877,6.76E-06,1.57516,1.08945,1.61497,1.07019,1.48,1.88136,2.02328,0.06211,1.50207,0,2.08668,0.01325,2.18934,0.10939,1.69055,0.0084,2.33675,0.51066,1.65687,0.23498,1.66E+00,2.30E-01
334,1,0,1.65305,0.23009,2.75704,0.13809,1.53853,6.20E-06,1.5849,1.09645,1.62385,1.07513,1.48,1.88027,2.02145,0.06071,1.50186,0,2.08485,0.01299,2.18714,0.1079,1.68937,0.00824,2.33659,0.50576,1.6521,0.23532,1.65E+00,2.31E-01
335,1,0,1.64921,0.23152,2.74924,0.12692,1.53823,5.69E-06,1.59496,1.10312,1.63023,1.07934,1.48,1.87918,2.01969,0.05936,1.50168,0,2.08303,0.01274,2.18502,0.10643,1.68822,0.00808,2.33608,0.50126,1.64732,0.23609,1.65E+00,2.32E-01
336,1,0,1.6451,0.23293,2.74092,0.11635,1.53794,5.22E-06,1.60524,1.10952,1.63729,1.08707,1.48,1.87809,2.01791,0.05805,1.50152,0,2.08129,0.0125,2.18287,0.10496,1.68709,0.00793,2.33534,0.497,1.64284,0.23726,1.64E+00,2.33E-01
337,1,0,1.64141,0.23497,2.73126,0.10614,1.5377,4.77E-06,1.61591,1.11566,1.64649,1.09533,1.48,1.877,2.01618,0.05677,1.5013,0,2.07948,0.01227,2.18078,0.1035,1.68599,0.00778,2.33394,0.49281,1.63853,0.23907,1.64E+00,2.35E-01
338,1,0,1.63743,0.2378,2.72157,0.09724,1.53745,4.38E-06,1.62668,1.12135,1.65559,1.09899,1.48,1.87591,2.01446,0.05555,1.50115,0,2.07778,0.01204,2.17871,0.10204,1.68489,0.00764,2.33254,0.48922,1.63438,0.24139,1.64E+00,2.38E-01
339,1,0,1.63377,0.24143,2.71276,0.0896,1.53721,4.02E-06,1.6377,1.12679,1.66287,1.10349,1.48,1.87482,2.01273,0.05437,1.50096,0,2.07609,0.01183,2.17665,0.10059,1.6838,0.0075,2.33177,0.48627,1.63054,0.24424,1.63E+00,2.42E-01
340,1,0,1.63041,0.24569,2.70388,0.08254,1.53697,3.68E-06,1.64892,1.13183,1.67128,1.10731,1.48,1.87373,2.01108,0.05321,1.50083,0,2.07438,0.01162,2.17458,0.09914,1.68277,0.00737,2.33102,0.4835,1.6269,0.24764,1.63E+00,2.46E-01
341,1,0,1.62676,0.25063,2.69494,0.07614,1.53672,3.38E-06,1.66044,1.13654,1.67787,1.1112,1.48,1.87264,2.00937,0.05209,1.50062,0,2.07276,0.01142,2.1726,0.09769,1.68171,0.00724,2.33033,0.48096,1.62367,0.25154,1.63E+00,2.51E-01
342,1,0,1.6235,0.25587,2.68721,0.07026,1.53648,3.10E-06,1.67192,1.14088,1.68602,1.11718,1.48,1.87155,2.00778,0.05102,1.50049,0,2.07109,0.01123,2.17055,0.09626,1.68063,0.00712,2.33034,0.4786,1.62095,0.25578,1.62E+00,2.56E-01
343,1,0,1.62035,0.26216,2.67887,0.0652,1.53624,2.84E-06,1.68366,1.14485,1.69522,1.12182,1.48085,1.87079,2.0061,0.04996,1.50034,0,2.0695,0.01105,2.16851,0.09483,1.67966,0.007,2.33006,0.47655,1.61865,0.26063,1.62E+00,2.62E-01
344,1,0,1.61756,0.26876,2.67049,0.06029,1.53605,2.61E-06,1.69554,1.14847,1.70426,1.12562,1.48256,1.87036,2.00452,0.04894,1.50015,0,2.06792,0.01087,2.16656,0.09339,1.67863,0.00689,2.32979,0.47444,1.61671,0.26579,1.62E+00,2.68E-01
345,1,0,1.61496,0.27516,2.66148,0.05582,1.53585,2.40E-06,1.7074,1.15164,1.71342,1.1294,1.48427,1.86993,2.00294,0.04797,1.49995,0,2.06634,0.01069,2.16462,0.09197,1.67761,0.00678,2.3291,0.47238,1.61504,0.27134,1.61E+00,2.75E-01
346,1,0,1.61272,0.28193,2.65192,0.05145,1.53561,2.21E-06,1.71942,1.15449,1.72422,1.13294,1.48598,1.8695,2.00136,0.04701,1.4998,0,2.06476,0.01053,2.16258,0.09055,1.67664,0.00667,2.32812,0.47023,1.61378,0.27713,1.61E+00,2.81E-01
347,1,0,1.61127,0.28944,2.64247,0.04739,1.53535,2.04E-06,1.73161,1.15691,1.73177,1.13659,1.48769,1.86908,1.99978,0.04608,1.49968,0,2.06328,0.01036,2.16063,0.08913,1.67566,0.00657,2.32724,0.46808,1.61315,0.28335,1.61E+00,2.89E-01
348,1,0,1.61018,0.29701,2.63365,0.04336,1.53506,1.88E-06,1.74376,1.15902,1.74225,1.14043,1.4894,1.86865,1.99824,0.04518,1.49952,0,2.06174,0.01021,2.15868,0.08772,1.67469,0.00647,2.32671,0.46582,1.61293,0.28974,1.61E+00,2.96E-01
349,1,0,1.60945,0.30428,2.62501,0.03943,1.53488,1.74E-06,1.75588,1.16072,1.75136,1.14434,1.49111,1.86822,1.99672,0.04432,1.49934,0,2.06022,0.01006,2.1568,0.08631,1.67378,0.00638,2.32626,0.46345,1.61317,0.29623,1.61E+00,3.03E-01
350,1,0,1.60914,0.31195,2.61663,0.03603,1.53464,1.62E-06,1.76807,1.16202,1.76109,1.14613,1.49282,1.86779,1.99522,0.04347,1.49922,0,2.05872,0.00991,2.15489,0.0849,1.67285,0.00628,2.32595,0.46124,1.61396,0.30281,1.61E+00,3.11E-01
351,1,0,1.60932,0.31985,2.60832,0.03251,1.5344,1.51E-06,1.78026,1.16302,1.76934,1.1489,1.49453,1.86737,1.99376,0.04265,1.499,0,2.05726,0.00977,2.15295,0.08349,1.67187,0.00619,2.32567,0.45882,1.61521,0.30943,1.61E+00,3.19E-01
352,1,0,1.61008,0.32783,2.60075,0.02955,1.53425,1.40E-06,1.79234,1.16357,1.78033,1.15209,1.49624,1.86694,1.99228,0.04187,1.49888,0,2.05581,0.00963,2.15111,0.0821,1.671,0.00611,2.32575,0.45659,1.61697,0.31593,1.61E+00,3.27E-01
353,1,0,1.61144,0.33561,2.593,0.0267,1.53401,1.31E-06,1.80449,1.1638,1.78999,1.1548,1.49795,1.86651,1.99079,0.0411,1.49871,0,2.05439,0.0095,2.1492,0.08069,1.67008,0.00602,2.32573,0.45428,1.61921,0.32258,1.61E+00,3.34E-01
354,1,0,1.61361,0.34341,2.58575,0.02415,1.53377,1.23E-06,1.81648,1.16367,1.80067,1.15526,1.49966,1.86609,1.98939,0.04036,1.49853,0,2.05299,0.00937,2.14732,0.0793,1.66916,0.00594,2.32592,0.45203,1.62197,0.32901,1.61E+00,3.42E-01
355,1,0,1.61644,0.35121,2.57841,0.02165,1.53352,1.15E-06,1.82842,1.16315,1.80965,1.15685,1.49883,1.86769,1.98793,0.03965,1.49841,0,2.05162,0.00925,2.14546,0.07791,1.66828,0.00586,2.326,0.44964,1.62513,0.3354,1.62E+00,3.50E-01
356,1,0,1.61973,0.35851,2.57124,0.01926,1.53338,1.08E-06,1.84036,1.16229,1.82109,1.16138,1.49737,1.86981,1.98657,0.03895,1.49829,0,2.05018,0.00912,2.14364,0.07651,1.66742,0.00578,2.32616,0.4472,1.62882,0.34152,1.62E+00,3.57E-01
357,1,0,1.62358,0.36518,2.56366,0.01686,1.53317,1.02E-06,1.85212,1.16104,1.8294,1.16251,1.49591,1.87193,1.98514,0.03828,1.49813,0,2.04884,0.00901,2.14181,0.07512,1.66657,0.00571,2.32598,0.44459,1.63301,0.34747,1.62E+00,3.63E-01
358,1,0,1.62737,0.37143,2.55641,0.0148,1.53299,9.70E-07,1.8637,1.15955,1.83924,1.16362,1.49445,1.87404,1.98381,0.03764,1.49795,0,2.04751,0.0089,2.14,0.07374,1.66572,0.00564,2.32589,0.4421,1.63763,0.35316,1.63E+00,3.70E-01
359,1,0,1.63213,0.37776,2.54896,0.01278,1.53282,9.22E-07,1.87528,1.15769,1.85076,1.16374,1.49299,1.87616,1.98239,0.03701,1.49782,0,2.04617,0.00878,2.13817,0.07235,1.66487,0.00557,2.32566,0.43949,1.64264,0.35866,1.63E+00,3.76E-01
360,1,0,1.63653,0.38449,2.54133,0.01087,1.53251,8.78E-07,1.88667,1.15554,1.86091,1.16564,1.49153,1.87828,1.98103,0.0364,1.4977,0,2.04483,0.00868,2.13634,0.07096,1.66402,0.0055,2.32521,0.43684,1.64802,0.36412,1.64E+00,3.82E-01
361,1,0,1.6425,0.39011,2.53414,0.00909,1.53236,8.39E-07,1.89776,1.1531,1.87145,1.16655,1.49007,1.88039,1.9798,0.03582,1.49758,0,2.0435,0.00858,2.13453,0.06959,1.66317,0.00544,2.3249,0.43417,1.65372,0.36908,1.64E+00,3.88E-01
362,1,0,1.64841,0.39602,2.52711,0.00757,1.53212,8.04E-07,1.90882,1.15033,1.88328,1.1667,1.48861,1.88251,1.97846,0.03526,1.49746,0,2.04216,0.00848,2.1327,0.06821,1.66232,0.00537,2.32463,0.43155,1.65993,0.3738,1.65E+00,3.94E-01
363,1,0,1.65522,0.4011,2.52022,0.00616,1.53194,7.73E-07,1.91961,1.1473,1.89345,1.16742,1.48715,1.88463,1.97712,0.03472,1.49728,0,2.04089,0.00838,2.13094,0.06683,1.66147,0.00531,2.32433,0.42891,1.66638,0.37816,1.66E+00,3.99E-01
364,1,0,1.66221,0.40568,2.51369,0.00496,1.53173,7.44E-07,1.93021,1.14398,1.90587,1.16709,1.48569,1.88674,1.97587,0.0342,1.49712,0,2.03959,0.00828,2.12916,0.06546,1.6607,0.00525,2.32415,0.42631,1.67316,0.38233,1.66E+00,4.03E-01
365,1,0,1.66995,0.41027,2.50745,0.00397,1.53159,7.18E-07,1.94071,1.14044,1.91584,1.16463,1.48423,1.88886,1.97455,0.03369,1.497,0,2.03835,0.00819,2.12743,0.06408,1.65987,0.00519,2.32409,0.42377,1.6802,0.38609,1.67E+00,4.08E-01
366,1,0,1.67701,0.41409,2.50135,0.00332,1.53137,6.95E-07,1.95087,1.13655,1.92689,1.16509,1.48277,1.89098,1.97333,0.03321,1.49687,0,2.03703,0.0081,2.12563,0.0627,1.65911,0.00513,2.32395,0.42132,1.68739,0.38937,1.68E+00,4.12E-01
367,1,0,1.68452,0.41739,2.49419,0.00235,1.5312,6.74E-07,1.96075,1.13258,1.93884,1.16303,1.48131,1.89309,1.97212,0.03274,1.49675,0,2.03582,0.00801,2.12389,0.06133,1.65831,0.00508,2.32304,0.41863,1.69473,0.39236,1.69E+00,4.15E-01
