Wavelength (nm),Air_n,Air_k,Spiro_n,Spiro_k,TiO2_n,TiO2_k,SodaLime_n,SodaLime_k,Perov_n,Perov_k,PerovPtPt_n,PerovPtPt_k,Au_n,Au_k,SnO2_n,SnO2_k,SiO2_n,SiO2_k,FTO_n,FTO_k,FTema_n,FTema_k,FAema_n,FAema_k,TPema_n,TPema_k,SpiroTFSI4Ox_n,SpiroTFSI4Ox_k,SpOxema_n,SpOxema_k
394,1,0,1.96238,0.42781,2.34041,0,1.52657,4.26E-07,2.13588,0.98384,2.16637,1.03054,1.46786,1.94794,1.94553,0.02547,1.49347,0,2.00607,0.00639,2.07995,0.02535,1.63946,0.00405,2.28466,0.35147,1.94929,0.38222,1.96E+00,4.23E-01
395,1,0,1.97794,0.41792,2.33569,0,1.52645,4.21E-07,2.1391,0.97839,2.17035,1.0209,1.46849,1.94913,1.9448,0.02528,1.49335,0,2.0051,0.00635,2.0785,0.02415,1.63885,0.00402,2.28262,0.34925,1.96207,0.37526,1.98E+00,4.14E-01
396,1,0,1.99335,0.40643,2.33075,0,1.52633,4.16E-07,2.1422,0.97297,2.17493,1.01536,1.46912,1.95033,1.94407,0.02509,1.49323,0,2.00412,0.00631,2.07711,0.02297,1.63824,0.004,2.28039,0.34704,1.97489,0.36721,1.99E+00,4.02E-01
397,1,0,2.0079,0.39359,2.32593,0,1.52621,4.11E-07,2.14513,0.96769,2.17914,1.0071,1.46975,1.95152,1.94334,0.02491,1.49311,0,2.00316,0.00627,2.07569,0.02181,1.63764,0.00397,2.27819,0.3449,1.98732,0.35823,2.01E+00,3.90E-01
398,1,0,2.02234,0.3791,2.32107,0,1.52607,4.06E-07,2.14791,0.96246,2.18508,1.0044,1.46962,1.95223,1.94261,0.02473,1.493,0,2.00218,0.00624,2.07432,0.02067,1.63703,0.00395,2.2759,0.34278,1.99956,0.34791,2.02E+00,3.76E-01
399,1,0,2.03573,0.36318,2.31581,0,1.52586,4.01E-07,2.15047,0.95732,2.18808,0.9972,1.46899,1.9526,1.94188,0.02454,1.49296,0,2.00121,0.0062,2.0729,0.01954,1.63642,0.00393,2.27329,0.34069,2.0113,0.33651,2.03E+00,3.61E-01
400,1,0,2.04833,0.34634,2.31081,0,1.52574,3.97E-07,2.1529,0.95231,2.1906,0.99124,1.46836,1.95298,1.94121,0.02436,1.49284,0,2.0003,0.00616,2.07156,0.01845,1.63581,0.0039,2.27079,0.33866,2.02247,0.32403,2.05E+00,3.44E-01
401,1,0,2.05957,0.32857,2.30589,0,1.52562,3.92E-07,2.15521,0.9474,2.19593,0.98474,1.46774,1.95336,1.94052,0.02419,1.49272,0,1.99937,0.00613,2.07023,0.01737,1.6352,0.00388,2.26831,0.33668,2.03291,0.31062,2.06E+00,3.27E-01
402,1,0,2.06957,0.30988,2.30124,0,1.5255,3.88E-07,2.15742,0.94258,2.19963,0.97826,1.46711,1.95374,1.93989,0.02401,1.4926,0,1.99839,0.0061,2.06889,0.01632,1.63459,0.00386,2.26596,0.33474,2.0426,0.29615,2.07E+00,3.09E-01
403,1,0,2.07771,0.29016,2.29661,0,1.52538,3.83E-07,2.15935,0.93793,2.203,0.97116,1.46648,1.95411,1.93919,0.02383,1.49248,0,1.99745,0.00606,2.06758,0.0153,1.63399,0.00384,2.26353,0.33287,2.05098,0.28083,2.08E+00,2.89E-01
404,1,0,2.08469,0.27004,2.29231,0,1.52521,3.79E-07,2.16126,0.93333,2.20678,0.96506,1.46585,1.95449,1.93854,0.02365,1.4924,0,1.99655,0.00603,2.06632,0.0143,1.63338,0.00382,2.26131,0.33104,2.05825,0.26457,2.08E+00,2.69E-01
405,1,0,2.08981,0.2495,2.28842,0,1.52503,3.75E-07,2.16308,0.92888,2.2108,0.9594,1.46522,1.95487,1.93787,0.02348,1.49233,0,1.99558,0.006,2.06505,0.01333,1.63277,0.0038,2.25932,0.32927,2.06415,0.24788,2.09E+00,2.49E-01
406,1,0,2.09347,0.22886,2.28485,0,1.52491,3.71E-07,2.16473,0.92454,2.21065,0.95111,1.46459,1.95525,1.93727,0.02331,1.49221,0,1.99469,0.00597,2.06383,0.01238,1.63225,0.00378,2.25747,0.32757,2.06872,0.23065,2.09E+00,2.29E-01
407,1,0,2.09516,0.20801,2.28136,0,1.52479,3.67E-07,2.1663,0.92029,2.2165,0.94671,1.46396,1.95562,1.93666,0.02313,1.49209,0,1.99374,0.00594,2.06261,0.01147,1.63166,0.00376,2.25566,0.3259,2.0717,0.21318,2.09E+00,2.09E-01
408,1,0,2.09539,0.18789,2.27823,0,1.52467,3.62E-07,2.16776,0.9162,2.21641,0.9383,1.46333,1.956,1.93602,0.02296,1.492,0,1.99286,0.00591,2.0614,0.01057,1.63108,0.00375,2.25404,0.3243,2.0731,0.19569,2.09E+00,1.89E-01
409,1,0,2.09371,0.16828,2.27555,0,1.52455,3.58E-07,2.16916,0.91224,2.21728,0.93188,1.4627,1.95638,1.93534,0.02279,1.49195,0,1.99194,0.00589,2.06024,0.00972,1.63054,0.00373,2.25268,0.32277,2.07301,0.17856,2.09E+00,1.69E-01
410,1,0,2.09065,0.14929,2.27321,0,1.52443,3.55E-07,2.17043,0.90836,2.22196,0.92705,1.46208,1.95675,1.93473,0.02262,1.49183,0,1.99109,0.00586,2.05907,0.00888,1.62993,0.00371,2.25151,0.32128,2.07148,0.16171,2.09E+00,1.51E-01
411,1,0,2.08598,0.13127,2.27092,0,1.52431,3.51E-07,2.17164,0.90465,2.22471,0.92144,1.46145,1.95713,1.93413,0.02245,1.49171,0,1.99015,0.00583,2.05795,0.00809,1.62942,0.00369,2.25035,0.31985,2.06854,0.14564,2.08E+00,1.33E-01
412,1,0,2.08004,0.11489,2.26842,0,1.52418,3.47E-07,2.17274,0.90104,2.22289,0.91262,1.46082,1.95751,1.93354,0.02228,1.4916,0,1.98929,0.00581,2.05684,0.00732,1.62882,0.00368,2.24901,0.31846,2.06416,0.1303,2.08E+00,1.16E-01
413,1,0,2.07293,0.09966,2.26571,0,1.52402,3.43E-07,2.17384,0.89755,2.22442,0.90669,1.46019,1.95789,1.93301,0.02212,1.49156,0,1.98844,0.00578,2.0557,0.00658,1.62825,0.00366,2.24755,0.31711,2.05851,0.11599,2.07E+00,1.01E-01
414,1,0,2.06471,0.08603,2.26287,0,1.52384,3.40E-07,2.17487,0.89421,2.22371,0.90174,1.45959,1.95759,1.9324,0.02195,1.49144,0,1.98759,0.00576,2.05467,0.00587,1.6277,0.00365,2.24599,0.3158,2.05181,0.10278,2.06E+00,8.77E-02
415,1,0,2.05567,0.07345,2.26017,0,1.52372,3.36E-07,2.17584,0.89098,2.2241,0.89565,1.45901,1.95701,1.9318,0.02179,1.49132,0,1.98674,0.00574,2.05358,0.0052,1.62718,0.00363,2.2445,0.31455,2.04413,0.09059,2.05E+00,7.52E-02
416,1,0,2.04609,0.06272,2.25724,0,1.5236,3.33E-07,2.17672,0.88786,2.22313,0.88852,1.45843,1.95643,1.93119,0.02162,1.4913,0,1.98578,0.00571,2.05258,0.00451,1.62659,0.00362,2.24283,0.31333,2.03567,0.07935,2.05E+00,6.44E-02
417,1,0,2.03593,0.05319,2.25442,0,1.52348,3.30E-07,2.17764,0.88491,2.22377,0.88316,1.45785,1.95585,1.93068,0.02146,1.49118,0,1.98494,0.00569,2.05151,0.00388,1.62608,0.0036,2.24125,0.31217,2.02666,0.06928,2.04E+00,5.48E-02
418,1,0,2.02577,0.04481,2.25156,0,1.52335,3.26E-07,2.17842,0.88205,2.22295,0.87767,1.45727,1.95527,1.93012,0.0213,1.49105,0,1.98408,0.00567,2.05054,0.00373,1.62552,0.00359,2.2396,0.31104,2.01725,0.05996,2.02E+00,4.63E-02
419,1,0,2.01573,0.03687,2.24879,0,1.52323,3.23E-07,2.17926,0.87933,2.22271,0.87257,1.45669,1.95469,1.92957,0.02114,1.491,0,1.98324,0.00565,2.04957,0.00372,1.62497,0.00358,2.23803,0.30997,2.00767,0.05147,2.01E+00,3.83E-02
420,1,0,2.00557,0.02979,2.24591,0,1.52311,3.19E-07,2.18003,0.87671,2.22226,0.8678,1.4561,1.9541,1.92905,0.02098,1.49091,0,1.98239,0.00563,2.0486,0.0037,1.62445,0.00356,2.23637,0.30893,1.99801,0.04369,2.00E+00,3.12E-02
421,1,0,1.99538,0.02373,2.2432,0,1.52299,3.16E-07,2.18077,0.87421,2.21957,0.86225,1.45552,1.95352,1.92846,0.02082,1.49079,0,1.98153,0.00561,2.04772,0.00369,1.62395,0.00355,2.23481,0.30794,1.98838,0.03659,1.99E+00,2.50E-02
422,1,0,1.98548,0.01862,2.24041,0,1.52287,3.13E-07,2.18159,0.87184,2.21782,0.85915,1.45494,1.95294,1.92797,0.02066,1.4907,0,1.98071,0.00559,2.04678,0.00368,1.62337,0.00354,2.23323,0.307,1.97899,0.03019,1.98E+00,1.98E-02
423,1,0,1.97592,0.01443,2.23768,0,1.52275,3.10E-07,2.18231,0.86959,2.21449,0.85709,1.45436,1.95236,1.92744,0.02051,1.49065,0,1.97993,0.00557,2.04588,0.00367,1.62289,0.00353,2.23166,0.3061,1.96995,0.02438,1.98E+00,1.54E-02
424,1,0,1.96649,0.01107,2.235,0,1.52263,3.08E-07,2.18305,0.86744,2.21501,0.85323,1.45378,1.95178,1.9269,0.02035,1.49053,0,1.97908,0.00555,2.04498,0.00365,1.62233,0.00352,2.23013,0.30523,1.96125,0.01913,1.97E+00,1.19E-02
425,1,0,1.95742,0.00842,2.23248,0,1.5225,3.05E-07,2.18377,0.86542,2.2147,0.84994,1.4532,1.9512,1.92642,0.0202,1.4904,0,1.97823,0.00554,2.04413,0.00364,1.62182,0.00351,2.2287,0.30442,1.95299,0.01458,1.96E+00,9.04E-03
426,1,0,1.94874,0.0064,2.22992,0,1.52238,3.02E-07,2.1845,0.86349,2.21208,0.8479,1.45262,1.95062,1.92583,0.02004,1.49038,0,1.9774,0.00552,2.0433,0.00363,1.62133,0.00349,2.22725,0.30364,1.94504,0.01074,1.95E+00,6.83E-03
427,1,0,1.94057,0.00494,2.22772,0,1.52226,2.99E-07,2.18523,0.86169,2.21398,0.8422,1.45203,1.95003,1.92535,0.01989,1.49026,0,1.97663,0.0055,2.04253,0.00362,1.62081,0.00348,2.22603,0.30291,1.93746,0.00764,1.94E+00,5.21E-03
428,1,0,1.93284,0.00384,2.22541,0,1.52214,2.96E-07,2.18596,0.86,2.21163,0.8393,1.45145,1.94945,1.92486,0.01974,1.4902,0,1.97578,0.00549,2.04168,0.00361,1.62026,0.00347,2.22475,0.30222,1.93026,0.00521,1.93E+00,3.98E-03
429,1,0,1.92554,0.00308,2.2234,0,1.52202,2.93E-07,2.18677,0.85839,2.21001,0.83654,1.45087,1.94887,1.92437,0.01959,1.49012,0,1.97501,0.00547,2.04091,0.0036,1.61977,0.00346,2.22369,0.30157,1.92336,0.00336,1.93E+00,3.11E-03
430,1,0,1.91869,0.00259,2.22144,0,1.5219,2.90E-07,2.18753,0.85688,2.21047,0.83446,1.45029,1.94829,1.92389,0.01944,1.49,0,1.97418,0.00546,2.04017,0.00359,1.61929,0.00345,2.22265,0.30095,1.91683,0.00207,1.92E+00,2.54E-03
431,1,0,1.91234,0.00232,2.21943,0,1.52188,2.88E-07,2.18837,0.8555,2.20729,0.83404,1.44828,1.94717,1.9234,0.01929,1.4899,0,1.97343,0.00544,2.03935,0.00358,1.61878,0.00344,2.22161,0.30038,1.91073,0.00133,1.91E+00,2.22E-03
432,1,0,1.90631,0.00218,2.21782,0,1.52175,2.85E-07,2.18922,0.85419,2.20769,0.83047,1.44485,1.9455,1.92291,0.01914,1.48985,0,1.97258,0.00543,2.03862,0.00357,1.61821,0.00344,2.22083,0.29984,1.90487,0.00101,1.91E+00,2.06E-03
433,1,0,1.90068,0.00215,2.21643,0,1.52163,2.83E-07,2.19014,0.85299,2.20649,0.82893,1.44142,1.94383,1.92243,0.019,1.48973,0,1.9718,0.00541,2.0379,0.00356,1.61773,0.00343,2.22022,0.29935,1.89935,0.00107,1.90E+00,2.04E-03
434,1,0,1.89536,0.00219,2.21504,0,1.52151,2.80E-07,2.19102,0.85186,2.20469,0.82734,1.43799,1.94217,1.92194,0.01885,1.4897,0,1.97098,0.0054,2.03717,0.00355,1.61724,0.00342,2.2196,0.29888,1.89414,0.00141,1.90E+00,2.11E-03
435,1,0,1.89033,0.00225,2.21356,0,1.52139,2.78E-07,2.192,0.85082,2.20454,0.82809,1.43456,1.9405,1.92146,0.01871,1.48959,0,1.97023,0.00539,2.03643,0.00355,1.61676,0.00341,2.21896,0.29844,1.88922,0.00196,1.89E+00,2.22E-03
436,1,0,1.88561,0.00232,2.21212,0,1.52127,2.76E-07,2.19306,0.84988,2.20476,0.8243,1.43113,1.93883,1.92097,0.01856,1.4895,0,1.96947,0.00538,2.03574,0.00354,1.61627,0.0034,2.21837,0.29803,1.88461,0.00262,1.89E+00,2.35E-03
437,1,0,1.88115,0.00238,2.21082,0,1.52115,2.74E-07,2.19408,0.84901,2.20253,0.82617,1.4277,1.93717,1.92049,0.01842,1.48945,0,1.96868,0.00537,2.03508,0.00353,1.61579,0.0034,2.21787,0.29766,1.88024,0.00339,1.88E+00,2.48E-03
438,1,0,1.87694,0.00242,2.20957,0,1.52102,2.71E-07,2.19518,0.84821,2.20215,0.8246,1.42426,1.9355,1.92,0.01828,1.48932,0,1.96795,0.00535,2.03435,0.00352,1.6153,0.00339,2.21742,0.2973,1.87604,0.00425,1.88E+00,2.60E-03
439,1,0,1.87303,0.00243,2.20838,0,1.5209,2.69E-07,2.19636,0.84749,2.20355,0.81992,1.42083,1.93383,1.91961,0.01814,1.4893,0,1.96713,0.00534,2.03372,0.00352,1.61481,0.00338,2.21705,0.29697,1.87206,0.00515,1.87E+00,2.70E-03
440,1,0,1.86932,0.00245,2.20737,0,1.52078,2.67E-07,2.19758,0.84684,2.20273,0.82252,1.4174,1.93217,1.91913,0.01799,1.48918,0,1.96639,0.00533,2.03301,0.00351,1.61433,0.00338,2.2168,0.29668,1.86829,0.00606,1.87E+00,2.81E-03
441,1,0,1.86583,0.00238,2.20622,0,1.52066,2.65E-07,2.19884,0.84626,2.20282,0.81879,1.41397,1.9305,1.91868,0.01785,1.4891,0,1.96562,0.00532,2.03236,0.0035,1.61384,0.00337,2.21648,0.2964,1.86467,0.00697,1.87E+00,2.84E-03
442,1,0,1.86256,0.00231,2.20514,0,1.5206,2.63E-07,2.20018,0.84574,2.20216,0.81853,1.41054,1.92883,1.91825,0.01772,1.48904,0,1.96483,0.00531,2.03169,0.0035,1.61335,0.00336,2.21624,0.29614,1.86121,0.00784,1.86E+00,2.86E-03
443,1,0,1.85945,0.00215,2.20398,0,1.52052,2.61E-07,2.2016,0.84526,2.20179,0.82097,1.40711,1.92717,1.91777,0.01758,1.48892,0,1.9641,0.0053,2.031,0.00349,1.61287,0.00336,2.21597,0.29589,1.85786,0.00869,1.86E+00,2.80E-03
444,1,0,1.85651,0.00206,2.20282,0,1.5204,2.59E-07,2.20306,0.84486,2.20172,0.81866,1.40368,1.9255,1.91738,0.01744,1.4889,0,1.96337,0.0053,2.03038,0.00349,1.61238,0.00335,2.21572,0.29567,1.8546,0.00952,1.86E+00,2.81E-03
445,1,0,1.85371,0.00181,2.20171,0,1.5203,2.57E-07,2.20464,0.8445,2.20215,0.82115,1.40025,1.92383,1.91692,0.01731,1.4888,0,1.96261,0.00529,2.02977,0.00348,1.61189,0.00335,2.21555,0.29546,1.85137,0.01036,1.85E+00,2.67E-03
446,1,0,1.8509,0.00163,2.2006,0,1.52025,2.55E-07,2.20622,0.84419,2.20216,0.81837,1.39681,1.92217,1.91651,0.01717,1.48875,0,1.96181,0.00528,2.02911,0.00348,1.61141,0.00334,2.21538,0.29527,1.84827,0.01117,1.85E+00,2.58E-03
447,1,0,1.84814,0.00142,2.19945,0,1.52013,2.53E-07,2.20787,0.84391,2.20283,0.81643,1.39338,1.9205,1.91609,0.01704,1.48863,0,1.96108,0.00527,2.02845,0.00347,1.61092,0.00334,2.2152,0.29508,1.8453,0.01195,1.85E+00,2.47E-03
448,1,0,1.84547,0.00123,2.19835,0,1.52001,2.52E-07,2.20957,0.84369,2.2032,0.81876,1.38995,1.91883,1.91564,0.0169,1.4886,0,1.96036,0.00526,2.02785,0.00347,1.61053,0.00333,2.21508,0.29491,1.8425,0.0127,1.85E+00,2.38E-03
449,1,0,1.84289,0.00106,2.19717,0,1.51989,2.50E-07,2.2114,0.84349,2.20419,0.81801,1.38652,1.91717,1.91525,0.01677,1.4885,0,1.95963,0.00526,2.02723,0.00346,1.61005,0.00333,2.21495,0.29475,1.83976,0.01342,1.84E+00,2.30E-03
450,1,0,1.8404,9.34E-04,2.19597,0,1.51977,2.48E-07,2.21335,0.84333,2.2042,0.82008,1.38309,1.9155,1.9148,0.01664,1.48847,0,1.9589,0.00525,2.02653,0.00346,1.60956,0.00332,2.21485,0.29459,1.83711,0.01411,1.84E+00,2.25E-03
451,1,0,1.83804,8.33E-04,2.19486,0,1.5197,2.46E-07,2.21529,0.84319,2.20501,0.82114,1.37966,1.91368,1.91438,0.01651,1.48834,0,1.95817,0.00524,2.02592,0.00345,1.60908,0.00332,2.21481,0.29445,1.83453,0.0148,1.84E+00,2.23E-03
452,1,0,1.83577,7.59E-04,2.19379,0,1.51962,2.45E-07,2.21731,0.84307,2.20558,0.82063,1.37624,1.91051,1.91397,0.01638,1.4883,0,1.95744,0.00524,2.02532,0.00345,1.60867,0.00332,2.21482,0.29431,1.83201,0.01546,1.84E+00,2.23E-03
453,1,0,1.83352,7.07E-04,2.19268,0,1.5195,2.44E-07,2.21938,0.84298,2.20688,0.82047,1.37283,1.90734,1.9136,0.01625,1.4882,0,1.95671,0.00523,2.02471,0.00345,1.6082,0.00331,2.21482,0.29418,1.82956,0.0161,1.83E+00,2.25E-03
454,1,0,1.83131,6.98E-04,2.1915,0,1.5194,2.42E-07,2.22159,0.8429,2.20894,0.82651,1.36941,1.90417,1.91314,0.01612,1.48818,0,1.95598,0.00523,2.0241,0.00344,1.60772,0.00331,2.21482,0.29404,1.82729,0.01669,1.83E+00,2.30E-03
455,1,0,1.82917,6.90E-04,2.1904,0,1.51936,2.41E-07,2.22389,0.84283,2.20947,0.82402,1.366,1.901,1.91278,0.01599,1.48806,0,1.95525,0.00522,2.02345,0.00344,1.60723,0.00331,2.21491,0.29391,1.82514,0.01723,1.83E+00,2.35E-03
456,1,0,1.82708,7.02E-04,2.18942,0,1.51924,2.40E-07,2.2262,0.84276,2.21152,0.82915,1.36259,1.89783,1.91235,0.01587,1.488,0,1.95452,0.00522,2.02278,0.00344,1.60681,0.0033,2.21508,0.29378,1.82301,0.01773,1.83E+00,2.41E-03
457,1,0,1.82512,7.28E-04,2.18846,0,1.51912,2.38E-07,2.22859,0.8427,2.21409,0.83087,1.35917,1.89466,1.91195,0.01574,1.48792,0,1.95379,0.00521,2.02218,0.00343,1.60636,0.0033,2.21529,0.29366,1.82088,0.01817,1.82E+00,2.47E-03
458,1,0,1.82323,7.57E-04,2.18761,0,1.51909,2.36E-07,2.23113,0.84264,2.21586,0.83147,1.35576,1.89149,1.91158,0.01561,1.48789,0,1.95316,0.00521,2.02157,0.00343,1.60588,0.0033,2.21562,0.29353,1.81878,0.01859,1.82E+00,2.54E-03
459,1,0,1.82141,7.54E-04,2.18666,0,1.5189,2.35E-07,2.23372,0.84257,2.21739,0.83168,1.35234,1.88832,1.91122,0.01549,1.48777,0,1.95243,0.00521,2.02093,0.00343,1.60549,0.0033,2.2159,0.29339,1.81675,0.01897,1.82E+00,2.58E-03
460,1,0,1.81961,7.68E-04,2.18564,0,1.51885,2.34E-07,2.23639,0.8425,2.22004,0.83317,1.34893,1.88515,1.91085,0.01537,1.4877,0,1.9517,0.0052,2.02025,0.00343,1.605,0.00329,2.21617,0.29325,1.81485,0.01932,1.82E+00,2.62E-03
461,1,0,1.81788,7.76E-04,2.18473,0,1.51873,2.34E-07,2.23906,0.8424,2.22205,0.83275,1.34551,1.88198,1.91042,0.01524,1.48763,0,1.95098,0.0052,2.01965,0.00342,1.60459,0.00329,2.21651,0.2931,1.81307,0.01965,1.82E+00,2.66E-03
462,1,0,1.8162,7.86E-04,2.18387,0,1.51861,2.32E-07,2.24183,0.8423,2.22601,0.83958,1.3421,1.8788,1.91002,0.01512,1.4876,0,1.95024,0.0052,2.01904,0.00342,1.60413,0.00329,2.21691,0.29295,1.81131,0.01996,1.82E+00,2.70E-03
463,1,0,1.81459,8.03E-04,2.18306,0,1.51859,2.31E-07,2.24475,0.84217,2.2287,0.83804,1.33868,1.87563,1.90966,0.015,1.4875,0,1.94961,0.0052,2.01833,0.00342,1.60366,0.00329,2.21739,0.29279,1.80955,0.02025,1.81E+00,2.75E-03
464,1,0,1.81302,8.27E-04,2.18229,0,1.51846,2.30E-07,2.24765,0.84202,2.23145,0.8403,1.33527,1.87246,1.90929,0.01488,1.48746,0,1.94889,0.00519,2.01772,0.00342,1.60326,0.00329,2.21789,0.29262,1.80784,0.02052,1.81E+00,2.80E-03
465,1,0,1.81148,8.53E-04,2.18149,0,1.51834,2.29E-07,2.25063,0.84184,2.23452,0.8414,1.33185,1.86929,1.90893,0.01476,1.4874,0,1.94816,0.00519,2.01711,0.00342,1.60277,0.00329,2.2184,0.29244,1.80623,0.0208,1.81E+00,2.85E-03
466,1,0,1.80994,8.94E-04,2.18057,0,1.5183,2.28E-07,2.25376,0.84163,2.23693,0.84216,1.32844,1.86612,1.90856,0.01464,1.48732,0,1.9475,0.00519,2.01642,0.00342,1.60236,0.00328,2.21889,0.29224,1.80475,0.02108,1.81E+00,2.91E-03
467,1,0,1.80843,9.40E-04,2.17966,0,1.5182,2.27E-07,2.2569,0.84139,2.2401,0.8426,1.32502,1.86295,1.9082,0.01452,1.4872,0,1.9468,0.00519,2.0158,0.00342,1.6019,0.00328,2.21938,0.29203,1.80338,0.02135,1.81E+00,2.98E-03
468,1,0,1.80693,0.001,2.17875,0,1.51818,2.26E-07,2.26007,0.84111,2.24428,0.84411,1.32161,1.85978,1.90783,0.01441,1.48718,0,1.94609,0.00519,2.01509,0.00342,1.60151,0.00328,2.21988,0.2918,1.802,0.02161,1.81E+00,3.06E-03
469,1,0,1.80551,0.00106,2.17786,0,1.51806,2.26E-07,2.26333,0.84078,2.24802,0.84509,1.3182,1.85661,1.90747,0.01429,1.4871,0,1.94544,0.00519,2.01444,0.00342,1.60102,0.00328,2.22042,0.29156,1.80058,0.02186,1.81E+00,3.14E-03
470,1,0,1.80415,0.0011,2.17698,0,1.51793,2.25E-07,2.26666,0.84042,2.25106,0.84476,1.31478,1.85344,1.9071,0.01417,1.48703,0,1.94471,0.00519,2.01377,0.00342,1.6006,0.00328,2.22099,0.2913,1.79922,0.0221,1.80E+00,3.20E-03
471,1,0,1.8028,0.00114,2.17616,0,1.51781,2.25E-07,2.27002,0.84001,2.25624,0.84686,1.31137,1.85027,1.90674,0.01406,1.487,0,1.94407,0.00519,2.01308,0.00342,1.60015,0.00328,2.2216,0.29103,1.79798,0.02233,1.80E+00,3.26E-03
472,1,0,1.80147,0.0012,2.1753,0,1.51779,2.24E-07,2.27345,0.83954,2.25924,0.84664,1.30339,1.84861,1.90637,0.01395,1.4869,0,1.94336,0.00519,2.01245,0.00342,1.59977,0.00328,2.22221,0.29073,1.79682,0.02256,1.80E+00,3.34E-03
473,1,0,1.80017,0.00125,2.17443,0,1.51767,2.23E-07,2.27697,0.83903,2.26418,0.84814,1.29237,1.84796,1.90601,0.01383,1.48687,0,1.94272,0.00519,2.01172,0.00342,1.59931,0.00328,2.22285,0.29042,1.79567,0.02277,1.80E+00,3.40E-03
474,1,0,1.79887,0.00132,2.17364,0,1.51755,2.22E-07,2.28049,0.83847,2.26793,0.84894,1.28135,1.8473,1.90565,0.01372,1.48675,0,1.94204,0.00519,2.01099,0.00342,1.5989,0.00328,2.22353,0.29009,1.79446,0.02298,1.80E+00,3.49E-03
475,1,0,1.79758,0.00137,2.17272,0,1.5175,2.22E-07,2.2841,0.83784,2.27161,0.84889,1.27033,1.84665,1.90528,0.01361,1.4867,0,1.94136,0.00519,2.01033,0.00342,1.59848,0.00328,2.22416,0.28973,1.79319,0.02317,1.80E+00,3.55E-03
476,1,0,1.79631,0.00142,2.17179,0,1.5174,2.21E-07,2.28775,0.83716,2.28027,0.85304,1.25931,1.846,1.90501,0.01349,1.4866,0,1.94072,0.00519,2.00963,0.00342,1.59802,0.00328,2.2248,0.28935,1.79191,0.02335,1.80E+00,3.61E-03
477,1,0,1.79503,0.00149,2.17087,0,1.51738,2.21E-07,2.29141,0.83641,2.28236,0.85194,1.24829,1.84534,1.90465,0.01338,1.48658,0,1.94002,0.00519,2.0089,0.00342,1.59763,0.00329,2.22544,0.28895,1.79071,0.02353,1.79E+00,3.70E-03
478,1,0,1.79377,0.00155,2.1699,0,1.51726,2.20E-07,2.29507,0.8356,2.28708,0.85092,1.23727,1.84469,1.90429,0.01327,1.4865,0,1.93937,0.00519,2.00817,0.00342,1.59719,0.00329,2.22604,0.28852,1.78961,0.0237,1.79E+00,3.77E-03
479,1,0,1.79252,0.00161,2.16887,0,1.51714,2.19E-07,2.29885,0.83472,2.29103,0.85031,1.22624,1.84404,1.90392,0.01316,1.48644,0,1.9387,0.00519,2.00744,0.00342,1.59676,0.00329,2.22664,0.28807,1.78854,0.02388,1.79E+00,3.84E-03
480,1,0,1.79128,0.00167,2.1679,0,1.5171,2.19E-07,2.30263,0.83378,2.29742,0.85166,1.21522,1.84338,1.90364,0.01306,1.4864,0,1.93801,0.0052,2.00671,0.00342,1.59635,0.00329,2.22729,0.2876,1.78746,0.02404,1.79E+00,3.91E-03
481,1,0,1.79008,0.00174,2.16698,0,1.517,2.19E-07,2.30638,0.83278,2.30197,0.85128,1.2042,1.84273,1.90329,0.01295,1.4863,0,1.93739,0.0052,2.00599,0.00342,1.59589,0.00329,2.22795,0.28711,1.78643,0.0242,1.79E+00,3.99E-03
482,1,0,1.78892,0.00181,2.16615,0,1.51698,2.19E-07,2.31028,0.83169,2.3057,0.84894,1.19318,1.84208,1.90293,0.01284,1.48628,0,1.93668,0.0052,2.00525,0.00343,1.5955,0.00329,2.22871,0.28659,1.78545,0.02435,1.79E+00,4.07E-03
483,1,0,1.78778,0.00185,2.16531,0,1.51685,2.18E-07,2.31414,0.83054,2.30876,0.84771,1.18216,1.84142,1.90261,0.01273,1.4862,0,1.93602,0.0052,2.00452,0.00343,1.59506,0.00329,2.22946,0.28604,1.78452,0.02449,1.79E+00,4.12E-03
484,1,0,1.78667,0.00189,2.16438,0,1.51673,2.18E-07,2.31796,0.82933,2.31358,0.84869,1.17114,1.84077,1.9023,0.01263,1.48613,0,1.93536,0.00521,2.0038,0.00343,1.5947,0.00329,2.23012,0.28548,1.78362,0.02463,1.79E+00,4.17E-03
485,1,0,1.78555,0.00194,2.16346,0,1.5167,2.18E-07,2.32194,0.82803,2.31898,0.8474,1.16012,1.84012,1.90193,0.01252,1.4861,0,1.93475,0.00521,2.00307,0.00343,1.59424,0.0033,2.23085,0.28488,1.78277,0.02476,1.79E+00,4.22E-03
486,1,0,1.78445,0.00198,2.16245,0,1.5166,2.18E-07,2.32585,0.82666,2.3233,0.84648,1.1491,1.83947,1.90167,0.01242,1.486,0,1.93405,0.00521,2.00233,0.00343,1.59386,0.0033,2.23149,0.28426,1.78192,0.02488,1.78E+00,4.27E-03
487,1,0,1.78339,0.00202,2.16163,0,1.51657,2.18E-07,2.32975,0.82521,2.32901,0.84714,1.13808,1.83881,1.9013,0.01231,1.48597,0,1.9334,0.00522,2.0016,0.00344,1.5934,0.0033,2.23225,0.28362,1.78105,0.02499,1.78E+00,4.32E-03
